numeroTelefono;dataAttivazione;tipoContratto;statoContratto
39320000001;02/08/2024;CONSUMO;ATTIVO
39320000002;27/02/2025;RICARICA;ATTIVO
39320000003;03/04/2022;CONSUMO;ATTIVO
39320000004;29/07/2021;RICARICA;ATTIVO
39320000005;02/01/2026;CONSUMO;ATTIVO
39320000006;24/04/2024;RICARICA;ATTIVO
39320000007;03/03/2021;CONSUMO;ATTIVO
39320000008;22/04/2022;RICARICA;ATTIVO
39320000009;24/02/2021;CONSUMO;ATTIVO
39320000010;06/01/2025;RICARICA;ATTIVO
39320000011;22/01/2024;CONSUMO;ATTIVO
39320000012;09/07/2023;RICARICA;ATTIVO
39320000013;16/07/2025;CONSUMO;ATTIVO
39320000014;04/04/2025;RICARICA;ATTIVO
39320000015;30/11/2024;CONSUMO;ATTIVO
39320000016;24/07/2022;RICARICA;ATTIVO
39320000017;13/04/2025;CONSUMO;ATTIVO
39320000018;09/07/2021;RICARICA;ATTIVO
39320000019;06/01/2023;CONSUMO;ATTIVO
39320000020;21/05/2024;RICARICA;ATTIVO
39320000021;30/03/2021;CONSUMO;ATTIVO
39320000022;04/01/2024;RICARICA;ATTIVO
39320000023;04/03/2026;CONSUMO;ATTIVO
39320000024;05/02/2024;RICARICA;ATTIVO
39320000025;11/07/2024;CONSUMO;ATTIVO
39320000026;31/10/2025;RICARICA;ATTIVO
39320000027;29/01/2022;CONSUMO;ATTIVO
39320000028;04/04/2021;RICARICA;ATTIVO
39320000029;03/05/2025;CONSUMO;ATTIVO
39320000030;13/06/2021;RICARICA;ATTIVO
39320000031;10/11/2025;CONSUMO;ATTIVO
39320000032;24/07/2022;RICARICA;ATTIVO
39320000033;05/09/2025;CONSUMO;ATTIVO
39320000034;29/01/2023;RICARICA;ATTIVO
39320000035;04/10/2024;CONSUMO;ATTIVO
39320000036;31/10/2024;RICARICA;ATTIVO
39320000037;01/06/2024;CONSUMO;ATTIVO
39320000038;30/12/2023;RICARICA;ATTIVO
39320000039;01/12/2021;CONSUMO;ATTIVO
39320000040;07/07/2022;RICARICA;SOSPESO
39320000041;03/08/2024;CONSUMO;ATTIVO
39320000042;26/03/2022;RICARICA;ATTIVO
39320000043;23/09/2025;CONSUMO;ATTIVO
39320000044;25/04/2021;RICARICA;ATTIVO
39320000045;07/03/2021;CONSUMO;ATTIVO
39320000046;02/04/2023;RICARICA;ATTIVO
39320000047;09/03/2022;CONSUMO;ATTIVO
39320000048;07/03/2024;RICARICA;ATTIVO
39320000049;07/10/2022;CONSUMO;ATTIVO
39320000050;20/10/2023;RICARICA;ATTIVO
39320000051;16/02/2026;CONSUMO;ATTIVO
39320000052;20/10/2021;RICARICA;ATTIVO
39320000053;21/05/2022;CONSUMO;ATTIVO
39320000054;09/01/2024;RICARICA;ATTIVO
39320000055;12/04/2024;CONSUMO;ATTIVO
39320000056;10/04/2024;RICARICA;ATTIVO
39320000057;26/03/2022;CONSUMO;SOSPESO
39320000058;11/10/2021;RICARICA;ATTIVO
39320000059;06/07/2021;CONSUMO;ATTIVO
39320000060;30/10/2025;RICARICA;ATTIVO
39320000061;09/07/2024;CONSUMO;ATTIVO
39320000062;25/10/2024;RICARICA;ATTIVO
39320000063;11/05/2021;CONSUMO;ATTIVO
39320000064;05/05/2024;RICARICA;SOSPESO
39320000065;20/12/2023;CONSUMO;ATTIVO
39320000066;08/02/2024;RICARICA;ATTIVO
39320000067;24/01/2021;CONSUMO;ATTIVO
39320000068;23/08/2021;RICARICA;ATTIVO
39320000069;05/01/2024;CONSUMO;ATTIVO
39320000070;24/04/2025;RICARICA;ATTIVO
39320000071;17/08/2021;CONSUMO;ATTIVO
39320000072;20/11/2021;RICARICA;ATTIVO
39320000073;18/01/2025;CONSUMO;ATTIVO
39320000074;24/06/2022;RICARICA;SOSPESO
39320000075;10/04/2025;CONSUMO;ATTIVO
39320000076;13/02/2026;RICARICA;ATTIVO
39320000077;04/07/2024;CONSUMO;ATTIVO
39320000078;01/08/2024;RICARICA;ATTIVO
39320000079;12/02/2022;CONSUMO;ATTIVO
39320000080;11/04/2025;RICARICA;ATTIVO
39320000081;14/05/2025;CONSUMO;SOSPESO
39320000082;25/02/2026;RICARICA;ATTIVO
39320000083;26/10/2022;CONSUMO;ATTIVO
39320000084;18/08/2021;RICARICA;SOSPESO
39320000085;05/12/2025;CONSUMO;SOSPESO
39320000086;11/07/2025;RICARICA;ATTIVO
39320000087;29/04/2021;CONSUMO;ATTIVO
39320000088;07/03/2024;RICARICA;SOSPESO
39320000089;25/06/2021;CONSUMO;ATTIVO
39320000090;30/07/2025;RICARICA;ATTIVO
39320000091;07/04/2025;CONSUMO;ATTIVO
39320000092;15/09/2021;RICARICA;ATTIVO
39320000093;01/09/2023;CONSUMO;SOSPESO
39320000094;05/12/2021;RICARICA;ATTIVO
39320000095;22/11/2025;CONSUMO;ATTIVO
39320000096;10/03/2022;RICARICA;SOSPESO
39320000097;27/03/2025;CONSUMO;ATTIVO
39320000098;16/02/2022;RICARICA;ATTIVO
39320000099;29/03/2023;CONSUMO;SOSPESO
39320000100;23/08/2024;RICARICA;ATTIVO
39320000101;17/01/2026;CONSUMO;ATTIVO
39320000102;05/09/2021;RICARICA;ATTIVO
39320000103;12/05/2021;CONSUMO;ATTIVO
39320000104;19/04/2024;RICARICA;ATTIVO
39320000105;20/04/2024;CONSUMO;ATTIVO
39320000106;26/05/2021;RICARICA;ATTIVO
39320000107;01/05/2021;CONSUMO;ATTIVO
39320000108;29/01/2026;RICARICA;ATTIVO
39320000109;08/11/2022;CONSUMO;ATTIVO
39320000110;03/05/2022;RICARICA;ATTIVO
39320000111;22/09/2023;CONSUMO;ATTIVO
39320000112;28/09/2021;RICARICA;ATTIVO
39320000113;13/12/2025;CONSUMO;ATTIVO
39320000114;27/08/2023;RICARICA;ATTIVO
39320000115;27/08/2023;CONSUMO;ATTIVO
39320000116;25/01/2022;RICARICA;ATTIVO
39320000117;11/09/2024;CONSUMO;ATTIVO
39320000118;18/05/2023;RICARICA;ATTIVO
39320000119;05/11/2025;CONSUMO;ATTIVO
39320000120;11/10/2024;RICARICA;ATTIVO
39320000121;16/08/2024;CONSUMO;ATTIVO
39320000122;05/04/2023;RICARICA;ATTIVO
39320000123;28/06/2025;CONSUMO;ATTIVO
39320000124;25/05/2022;RICARICA;ATTIVO
39320000125;04/01/2024;CONSUMO;ATTIVO
39320000126;15/05/2023;RICARICA;ATTIVO
39320000127;06/08/2023;CONSUMO;ATTIVO
39320000128;06/03/2026;RICARICA;ATTIVO
39320000129;13/07/2025;CONSUMO;ATTIVO
39320000130;02/02/2024;RICARICA;ATTIVO
39320000131;28/08/2024;CONSUMO;SOSPESO
39320000132;09/09/2025;RICARICA;ATTIVO
39320000133;11/07/2021;CONSUMO;SOSPESO
39320000134;05/10/2025;RICARICA;ATTIVO
39320000135;13/04/2023;CONSUMO;ATTIVO
39320000136;14/03/2022;RICARICA;ATTIVO
39320000137;23/01/2026;CONSUMO;ATTIVO
39320000138;16/02/2023;RICARICA;ATTIVO
39320000139;11/03/2023;CONSUMO;ATTIVO
39320000140;25/05/2025;RICARICA;ATTIVO
39320000141;08/08/2022;CONSUMO;ATTIVO
39320000142;05/02/2025;RICARICA;SOSPESO
39320000143;13/02/2024;CONSUMO;ATTIVO
39320000144;24/09/2023;RICARICA;ATTIVO
39320000145;31/08/2022;CONSUMO;ATTIVO
39320000146;30/04/2021;RICARICA;ATTIVO
39320000147;16/01/2024;CONSUMO;ATTIVO
39320000148;05/10/2022;RICARICA;ATTIVO
39320000149;11/04/2024;CONSUMO;ATTIVO
39320000150;26/02/2026;RICARICA;ATTIVO
39320000151;19/11/2021;CONSUMO;ATTIVO
39320000152;07/11/2023;RICARICA;ATTIVO
39320000153;16/01/2022;CONSUMO;ATTIVO
39320000154;20/05/2021;RICARICA;ATTIVO
39320000155;27/04/2022;CONSUMO;ATTIVO
39320000156;29/12/2025;RICARICA;ATTIVO
39320000157;31/03/2024;CONSUMO;ATTIVO
39320000158;22/06/2024;RICARICA;ATTIVO
39320000159;08/09/2024;CONSUMO;ATTIVO
39320000160;07/12/2023;RICARICA;ATTIVO
39320000161;19/06/2022;CONSUMO;ATTIVO
39320000162;06/01/2025;RICARICA;ATTIVO
39320000163;28/06/2022;CONSUMO;ATTIVO
39320000164;07/10/2024;RICARICA;ATTIVO
39320000165;26/07/2023;CONSUMO;ATTIVO
39320000166;20/03/2025;RICARICA;SOSPESO
39320000167;20/01/2021;CONSUMO;ATTIVO
39320000168;28/02/2024;RICARICA;SOSPESO
