numeroTelefono;creditoResiduo
+39320000002;31,05
+39320000004;39,74
+39320000006;9,44
+39320000008;151,76
+39320000010;164,60
+39320000012;95,27
+39320000014;5,33
+39320000016;205,63
+39320000018;227,56
+39320000020;212,42
+39320000022;88,16
+39320000024;244,62
+39320000026;110,04
+39320000028;148,29
+39320000030;68,79
+39320000032;201,08
+39320000034;115,73
+39320000036;6,44
+39320000038;216,60
+39320000040;152,31
+39320000042;23,35
+39320000044;1,09
+39320000046;32,01
+39320000048;166,08
+39320000050;35,01
+39320000052;189,52
+39320000054;213,58
+39320000056;31,58
+39320000058;75,24
+39320000060;195,44
+39320000062;141,65
+39320000064;227,39
+39320000066;74,33
+39320000068;177,20
+39320000070;228,81
+39320000072;110,87
+39320000074;150,00
+39320000076;146,73
+39320000078;235,29
+39320000080;67,72
+39320000082;82,38
+39320000084;81,85
+39320000086;207,47
+39320000088;214,51
+39320000090;39,20
+39320000092;214,89
+39320000094;191,17
+39320000096;109,15
+39320000098;212,99
+39320000100;88,76
+39320000102;126,11
+39320000104;217,71
+39320000106;161,63
+39320000108;104,70
+39320000110;195,86
+39320000112;180,95
+39320000114;226,32
+39320000116;10,25
+39320000118;234,22
+39320000120;143,80
+39320000122;181,68
+39320000124;82,09
+39320000126;65,45
+39320000128;113,37
+39320000130;168,80
+39320000132;3,72
+39320000134;190,55
+39320000136;138,60
+39320000138;184,86
+39320000140;211,33
+39320000142;127,61
+39320000144;163,60
+39320000146;101,81
+39320000148;10,27
+39320000150;6,69
+39320000152;148,91
+39320000154;86,67
+39320000156;150,33
+39320000158;92,07
+39320000160;127,08
+39320000162;214,70
+39320000164;189,16
+39320000166;166,01
+39320000168;109,66
+39320000170;75,01
+39320000172;156,90
+39320000174;67,88
+39320000176;218,47
+39320000178;70,97
+39320000180;29,37
+39320000182;128,58
+39320000184;212,88
+39320000186;203,06
+39320000188;120,63
+39320000190;153,92
+39320000192;123,36
+39320000194;71,26
+39320000196;223,18
+39320000198;245,82
+39320000200;208,03
+39320000202;172,00
+39320000204;115,46
+39320000206;230,51
+39320000208;109,09
+39320000210;49,37
+39320000212;85,23
+39320000214;164,75
+39320000216;29,35
+39320000218;91,00
+39320000220;85,88
+39320000222;232,53
+39320000224;107,73
+39320000226;156,02
+39320000228;93,90
+39320000230;195,56
+39320000232;122,70
+39320000234;120,67
+39320000236;49,34
+39320000238;235,48
+39320000240;237,11
+39320000242;156,90
+39320000244;25,80
+39320000246;204,78
+39320000248;84,75
+39320000250;84,10
+39320000252;197,58
+39320000254;88,91
+39320000256;221,93
+39320000258;230,91
+39320000260;239,55
+39320000262;248,03
+39320000264;53,67
+39320000266;198,58
+39320000268;120,91
+39320000270;103,69
+39320000272;140,12
+39320000274;89,03
+39320000276;75,38
+39320000278;22,91
+39320000280;104,34
+39320000282;12,70
+39320000284;19,86
+39320000286;92,64
+39320000288;170,12
+39320000290;80,27
+39320000292;23,37
+39320000294;144,77
+39320000296;57,88
+39320000298;139,00
+39320000300;194,61
+39320000302;170,41
+39320000304;217,59
+39320000306;169,99
+39320000308;130,88
+39320000310;245,83
+39320000312;87,57
+39320000314;6,11
+39320000316;8,35
+39320000318;197,51
+39320000320;49,23
+39320000322;23,21
+39320000324;210,30
+39320000326;10,93
